Bytes,Memcpy,Memcpy_Moop,Memcpy_Fast
0,955,415,535
1,895,730,885
2,1255,1100,955
3,1435,855,1250
4,1725,940,1050
5,2235,1240,1585
6,2525,1370,1625
7,2875,1520,1885
8,3165,710,1060
9,3005,720,2130
10,3315,725,2170
11,2035,1065,2460
12,1310,1190,1250
13,1795,1455,2810
14,2085,1465,2800
15,2375,1845,3110
16,2050,745,1330
17,2055,1065,1935
18,2345,1285,2200
19,2635,1375,2515
20,2150,1380,1580
21,2555,1675,2245
22,2845,1725,2545
23,3115,2045,2835
24,2535,1230,1610
25,2645,1375,2285
26,2935,1405,2665
27,3225,1705,2825
28,2740,1660,1910
29,3145,1995,2585
30,3435,2025,2855
31,3725,2285,3145
32,3210,1090,1940
33,3325,1395,2585
34,3635,1325,2865
35,3905,1785,3260
36,3480,1515,2270
37,3825,1725,2935
38,4025,1740,3185
39,4315,2055,3495
40,3800,1325,2330
41,3760,1490,2865
42,4105,1475,3065
43,4395,1835,3505
44,3785,1675,2610
45,4045,1845,3035
46,4335,1875,3305
47,4625,2200,3620
48,4300,1475,2520
49,4525,1775,3095
50,4685,1805,3365
51,4995,2105,3655
52,4670,1960,2770
53,4605,2515,3415
54,5175,2285,3685
55,5385,2625,4155
56,4890,1825,2930
57,5105,2105,3425
58,5405,2135,3695
59,5715,2435,3985
60,5260,2225,3100
61,5455,2495,3845
62,5665,2550,4015
63,5955,2825,4305
64,5480,1650,2815
65,5755,1825,3305
66,5885,1855,3445
67,6175,2155,3735
68,5690,1925,2995
69,6095,2215,3635
70,6255,2500,3765
71,6545,2600,4055
72,6070,1855,2005
73,6015,1995,2375
74,6415,2040,2635
75,6705,2295,2925
76,5850,2185,2155
77,6325,2345,2595
78,6635,2375,2865
79,6825,2655,3155
80,73910,2100,2175
81,6705,2255,2665
82,6995,2385,2955
83,7305,2685,3245
84,6690,2460,2535
85,6985,2735,2985
86,7295,2765,3255
87,7565,3225,3545
88,7070,2305,2475
89,7205,2585,2995
90,7655,2615,3345
91,7765,2915,3555
92,7410,2695,2815
93,7755,2980,3315
94,7975,3005,3715
95,8335,3310,3875
96,7660,2020,2825
97,7775,2315,3325
98,8185,2345,3595
99,8475,2645,3885
100,7870,2435,3145
101,8345,2705,3650
102,8455,2735,3915
103,8865,3035,4205
104,8250,2525,2115
105,8325,2465,2485
106,8665,2510,2745
107,8795,2765,3420
108,8160,2685,2315
109,8555,2835,2975
110,8895,2845,2995
111,9025,3295,3265
112,8810,2510,2285
113,8815,2895,2775
114,9265,2775,3065
115,9455,3075,3355
116,8990,2950,2575
117,9255,3245,3095
118,9475,3255,3365
119,9895,3555,3655
120,9400,2955,2715
121,9485,3225,3105
122,9675,3155,3375
123,10095,3405,3665
124,9590,3275,2925
125,9955,3465,3555
126,10195,3595,3695
127,10355,3795,4075
128,10040,2510,2915
129,10095,2805,3435
130,10445,2835,3705
131,10555,3135,3995
132,10210,2925,3255
133,10425,3345,3755
134,10785,3225,4155
135,11015,3525,4315
136,10610,3015,2205
137,10505,3055,2615
138,10685,3020,2855
139,11155,3255,3325
140,10430,3075,2435
141,10735,3305,2815
142,11045,3335,3265
143,11315,3785,3555
144,10880,3000,2395
145,11125,3235,2885
146,11325,3265,3155
147,11755,3565,3445
148,11250,3520,2815
149,11565,3715,3205
150,11785,3745,3475
151,11965,4335,3945
152,11590,3285,2715
153,11585,3585,3235
154,11875,3695,3615
155,12345,3895,3905
156,11680,3685,3135
157,12085,3955,3535
158,12145,4085,3935
159,12665,4285,4095
160,12240,3000,3045
